City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Safakulevo,RU,2021-03-06 08:41:57,54.9901,62.5442,20.05,94,0,11.68
273,Dunaujvaros,HU,2021-03-06 08:41:57,46.9833,18.9333,39.2,45,20,6.91
274,Honningsvag,NO,2021-03-06 08:41:58,70.9821,25.9704,30.88,95,100,21.7
275,Husavik,IS,2021-03-06 08:41:58,66.0449,-17.3389,33.8,93,90,1.14
276,Pochutla,MX,2021-03-06 08:41:58,15.7432,-96.4661,71.01,83,0,2.91
277,Ayan,RU,2021-03-06 08:41:58,56.45,138.1667,-5.1,79,35,14.47
278,Rocha,UY,2021-03-06 08:40:26,-34.4833,-54.3333,65.53,81,100,6.08
279,Usolye,RU,2021-03-06 08:41:59,59.4268,56.6808,12.0,76,100,1.99
280,Gweta,BW,2021-03-06 08:41:59,-20.1833,25.2333,83.55,33,0,9.95
281,Geraldton,AU,2021-03-06 08:42:00,-28.7667,114.6,82.4,54,80,19.57
282,Isangel,VU,2021-03-06 08:42:00,-19.55,169.2667,84.2,79,90,36.82
283,Hofn,IS,2021-03-06 08:42:00,64.2539,-15.2082,39.94,69,98,6.69
284,Manicore,BR,2021-03-06 08:42:00,-5.8092,-61.3003,73.22,94,99,1.32
285,Katangli,RU,2021-03-06 08:42:00,51.7102,143.2326,-5.33,87,100,10.13
286,Chokurdakh,RU,2021-03-06 08:42:01,70.6333,147.9167,-8.82,90,100,21.27
287,Baragua,CU,2021-03-06 08:42:01,21.6967,-78.6328,66.31,82,14,3.91
288,Chapais,CA,2021-03-06 08:42:01,49.7834,-74.8492,6.8,85,90,11.5
289,Port Macquarie,AU,2021-03-06 08:41:31,-31.4333,152.9167,71.01,71,85,1.01
290,Katobu,ID,2021-03-06 08:42:02,-4.9408,122.5276,79.77,87,100,4.94
291,Davila,PH,2021-03-06 08:42:02,18.4726,120.5763,82.4,78,40,8.05
292,Chiang Rai,TH,2021-03-06 08:42:03,19.9167,99.9167,95.0,31,0,5.75
